Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
115,20,100,0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3606,18.683752298355103
116,20,50,0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3433,13.309523105621338
117,10,100,0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,8.469292879104614
118,10,50,0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,7.145709037780762
119,20,100,0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,15.88743495941162
120,20,50,0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,12.117001056671144
121,10,100,0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9325,10.353102922439575
122,10,50,0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9286,7.397310972213745
123,20,100,0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9482,19.96694803237915
124,20,50,0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9454,14.258299827575684
125,10,100,0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9695,8.120848178863525
126,10,50,0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9629,6.492901086807251
127,20,100,0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9738,17.13469099998474
128,20,50,0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9698,12.220625877380373
129,10,100,0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8997,12.654986143112184
130,10,50,0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8741,7.301090717315674
131,20,100,0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.9178,21.434848070144653
132,20,50,0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.9043,14.717257976531982
133,10,100,0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.917,8.569209098815918
134,10,50,0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8952,6.396929979324341
135,20,100,0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9304,16.98320984840393
136,20,50,0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9188,12.2344651222229
137,10,100,0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3318,10.028010129928589
138,10,50,0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3304,7.410205125808716
139,20,100,0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3503,495.7335660457611
140,20,50,0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3474,12.577616930007936
141,10,100,0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,7.998040199279785
142,10,50,0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,6.090394973754883
143,20,100,0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,954.0394620895386
144,20,50,0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,10.251353979110718
