Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
503, 20, 50, 0.2,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,33.01884698867798
504, 10, 100, 0.2,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9726,35.05925512313843
505, 10, 50, 0.2,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9653,36.667036294937134
506, 20, 100, 0.2,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.975,72.28895115852356
507, 20, 50, 0.2,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9708,64.07644295692444
508, 10, 100, 0.2,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9804,49.746636152267456
509, 10, 50, 0.2,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9702,32.11403799057007
510, 20, 100, 0.2,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9801,74.50269389152527
511, 20, 50, 0.2,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9733,48.52309513092041
512, 10, 100, 0.2,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9455,36.844099044799805
513, 10, 50, 0.2,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9346,27.279566764831543
514, 20, 100, 0.2,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.955,61.45513892173767
515, 20, 50, 0.2,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9487,54.43922162055969
516, 10, 100, 0.2,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9442,37.73982501029968
517, 10, 50, 0.2,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9376,30.126340866088867
518, 20, 100, 0.2,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9558,72.11577415466309
519, 20, 50, 0.2,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9512,57.19061613082886
520, 10, 100, 0.2,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.357,38.99682092666626
521, 10, 50, 0.2,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3631,26.21621823310852
522, 20, 100, 0.2,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3646,69.93236470222473
523, 20, 50, 0.2,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3769,36.815853118896484
524, 10, 100, 0.2,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,23.799553155899048
525, 10, 50, 0.2,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,16.17213201522827
526, 20, 100, 0.2,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,46.13706684112549
527, 20, 50, 0.2,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,38.8355131149292
528, 10, 100, 0.2,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9391,21.995990991592407
529, 10, 50, 0.2,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9394,16.91917395591736
530, 20, 100, 0.2,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9533,45.182852029800415
531, 20, 50, 0.2,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9482,36.66145992279053
532, 10, 100, 0.2,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9709,22.5366268157959
533, 10, 50, 0.2,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9659,16.639238834381104
534, 20, 100, 0.2,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.977,45.131272077560425
535, 20, 50, 0.2,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.971,29.857541799545288
536, 10, 100, 0.2,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.6552,30.151893854141235
537, 10, 50, 0.2,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.5963,16.085969924926758
538, 20, 100, 0.2,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.6583,53.82729196548462
539, 20, 50, 0.2,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.9012,31.64448881149292
540, 10, 100, 0.2,quadratic,one_hot,32,random,ReLu,Sigmoid,0.2627,25.907965183258057
541, 10, 50, 0.2,quadratic,one_hot,32,random,ReLu,Sigmoid,0.2518,15.161639928817749
542, 20, 100, 0.2,quadratic,one_hot,32,random,ReLu,Sigmoid,0.5394,44.9264018535614
543, 20, 50, 0.2,quadratic,one_hot,32,random,ReLu,Sigmoid,0.3321,29.657092094421387
544, 10, 100, 0.2,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.251,25.616424083709717
545, 10, 50, 0.2,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.2967,19.26493501663208
546, 20, 100, 0.2,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.3406,44.588226079940796
547, 20, 50, 0.2,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.3207,38.80992102622986
548, 10, 100, 0.2,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,23.6004958152771
549, 10, 50, 0.2,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,17.566409826278687
550, 20, 100, 0.2,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,61.36817479133606
551, 20, 50, 0.2,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,36.739710092544556
552, 10, 100, 0.2,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9376,50.271190881729126
553, 10, 50, 0.2,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9359,37.94789004325867
554, 20, 100, 0.2,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9532,71.61853694915771
555, 20, 50, 0.2,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9486,53.49995279312134
556, 10, 100, 0.2,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9712,35.25379204750061
557, 10, 50, 0.2,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9667,25.890812873840332
558, 20, 100, 0.2,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9767,77.79317212104797
559, 20, 50, 0.2,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9708,52.8830680847168
560, 10, 100, 0.2,quadratic,binary,32,random,Sigmoid,Sigmoid,0.7083,39.31753587722778
561, 10, 50, 0.2,quadratic,binary,32,random,Sigmoid,Sigmoid,0.795,30.616116046905518
562, 20, 100, 0.2,quadratic,binary,32,random,Sigmoid,Sigmoid,0.6346,73.3746600151062
563, 20, 50, 0.2,quadratic,binary,32,random,Sigmoid,Sigmoid,0.714,45.95736217498779
564, 10, 100, 0.2,quadratic,binary,32,random,ReLu,Sigmoid,0.4258,37.61810493469238
565, 10, 50, 0.2,quadratic,binary,32,random,ReLu,Sigmoid,0.271,28.099267959594727
566, 20, 100, 0.2,quadratic,binary,32,random,ReLu,Sigmoid,0.4781,74.53700804710388
567, 20, 50, 0.2,quadratic,binary,32,random,ReLu,Sigmoid,0.389,44.51983118057251
568, 10, 100, 0.2,quadratic,binary,32,0,Sigmoid,Sigmoid,0.2405,42.01703500747681
569, 10, 50, 0.2,quadratic,binary,32,0,Sigmoid,Sigmoid,0.2996,24.92668914794922
570, 20, 100, 0.2,quadratic,binary,32,0,Sigmoid,Sigmoid,0.3358,74.83021593093872
571, 20, 50, 0.2,quadratic,binary,32,0,Sigmoid,Sigmoid,0.3491,46.886399030685425
572, 10, 100, 0.2,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,29.335283041000366
573, 10, 50, 0.2,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,17.6271870136261
574, 20, 100, 0.2,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,55.984166860580444
575, 20, 50, 0.2,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,37.714945793151855
